timestamp,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw
1631220720.34999990,78373039,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220721.28099990,79122102,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220722.90999985,80378800,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220723.75499988,81650979,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220724.77199984,82902728,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220726.15699983,84159990,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220727.58699989,85418234,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220728.71700001,86676135,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220729.97000003,87938950,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220731.20299983,89199559,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220732.44099998,90440159,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220733.61800003,91702621,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220734.89899993,92982753,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220736.21799994,94224206,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220737.40299988,95486703,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220738.82399988,96749563,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220739.95299983,98008677,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220741.20499992,99271019,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220742.36399984,100514221,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220743.60599995,101772210,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220745.15599990,103043718,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220746.42199993,104287820,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220747.59599996,105548552,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220748.96000004,106815968,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220750.02499986,108068285,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220751.27300000,109326586,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220752.65699983,110584743,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220753.70799994,111859515,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220755.13999987,113109365,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220756.48399997,114355657,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220757.50999999,115626474,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220759.07599998,116886112,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220761.31299996,119411148,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220762.58599997,120649989,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220763.99099994,121912435,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220765.15699983,123182685,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220766.54199982,124685124,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220768.15100002,126207903,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220769.66599989,127701904,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220771.16100001,129235597,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
1631220772.81900001,130724856,0,900,900,900,900,1512,1512,900,900,0,0,0,0,0,0,0,0
