timestamp,POSITION_TARGET_LOCAL_NED.time_boot_ms,POSITION_TARGET_LOCAL_NED.coordinate_frame,POSITION_TARGET_LOCAL_NED.type_mask,POSITION_TARGET_LOCAL_NED.x,POSITION_TARGET_LOCAL_NED.y,POSITION_TARGET_LOCAL_NED.z,POSITION_TARGET_LOCAL_NED.vx,POSITION_TARGET_LOCAL_NED.vy,POSITION_TARGET_LOCAL_NED.vz,POSITION_TARGET_LOCAL_NED.afx,POSITION_TARGET_LOCAL_NED.afy,POSITION_TARGET_LOCAL_NED.afz,POSITION_TARGET_LOCAL_NED.yaw,POSITION_TARGET_LOCAL_NED.yaw_rate
1631220882.70499992,47659,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.8590336441993713,0.0
1631220883.47599983,48732,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.8594095706939697,0.0
1631220884.80799985,49827,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.8604609370231628,0.0
1631220885.73899984,50860,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.867278516292572,0.0
1631220886.80299997,51919,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.8727597594261169,0.0
1631220887.92699981,52978,1,63,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,0.8781341910362244,0.0
1631220889.08500004,54051,1,31,nan,nan,nan,nan,nan,1.3773361444473267,0.0,0.0,7.19967794418335,0.8809136152267456,1.5809334212162377e-15
1631220889.96099997,55111,1,31,nan,nan,nan,nan,nan,-0.37386441230773926,0.0,0.0,1.1927635669708252,0.8809136152267456,1.1978034096513866e-20
1631220891.04799986,56170,1,31,nan,nan,nan,nan,nan,-0.3759104609489441,0.1213967353105545,0.14712277054786682,0.39003467559814453,0.8809136152267456,9.05758135201671e-26
1631220892.73099995,57238,1,31,nan,nan,nan,nan,nan,-0.9856337308883667,0.5452054738998413,0.1860233098268509,0.23136377334594727,0.8809136152267456,6.7556934577633154e-31
1631220893.08500004,58298,1,31,nan,nan,nan,nan,nan,-1.0,0.7001596093177795,-0.2951095998287201,-0.2879197597503662,0.8809136152267456,5.258043843652635e-36
1631220894.20899987,59357,1,31,nan,nan,nan,nan,nan,-0.9298374056816101,0.34956371784210205,-0.2884386479854584,-1.9107693433761597,0.8809136152267456,3.9788468596038856e-41
1631220895.50399995,60421,1,31,nan,nan,nan,nan,nan,-0.8091781139373779,0.3747769296169281,-0.2548212707042694,-0.6924968361854553,0.9736689925193787,1.401298464324817e-45
1631220896.34599996,61489,1,31,nan,nan,nan,nan,nan,-0.491487592458725,0.0,0.0,0.017441287636756897,0.9736689925193787,1.401298464324817e-45
1631220897.39899993,62548,1,31,nan,nan,nan,nan,nan,-0.2733370065689087,0.28392189741134644,-0.193046435713768,-0.14550594985485077,0.9736689925193787,1.401298464324817e-45
1631220898.76199985,63623,1,31,nan,nan,nan,nan,nan,-0.2733369469642639,1.8284571170806885,-1.243219017982483,0.16521525382995605,0.9736689925193787,1.401298464324817e-45
1631220899.52900004,64680,1,31,nan,nan,nan,nan,nan,-0.2733369469642639,1.7262451648712158,-1.173722267150879,0.15819181501865387,0.9736689925193787,1.401298464324817e-45
1631220900.59500003,65749,1,31,nan,nan,nan,nan,nan,-0.07218033820390701,0.9653345346450806,-0.6563578248023987,0.11576446890830994,0.9736689925193787,1.401298464324817e-45
1631220903.80699992,66809,1,31,nan,nan,nan,nan,nan,-0.0695096030831337,1.64674711227417,-1.1196693181991577,0.2706112265586853,0.9736689925193787,1.401298464324817e-45
1631220903.80799985,67867,1,31,nan,nan,nan,nan,nan,-0.06953384727239609,1.2038289308547974,-0.8185168504714966,0.19047915935516357,0.9736689925193787,1.401298464324817e-45
1631220903.80900002,68927,1,31,nan,nan,nan,nan,nan,-0.0695096030831337,0.9994050860404968,-0.6795234680175781,0.21453630924224854,0.9736689925193787,1.401298464324817e-45
1631220905.00300002,70000,1,31,nan,nan,nan,nan,nan,-0.06698575615882874,1.487750768661499,-1.0115633010864258,0.10301224887371063,0.9736689925193787,1.401298464324817e-45
1631220906.25600004,71059,1,31,nan,nan,nan,nan,nan,-0.07137554883956909,1.4082527160644531,-0.957510232925415,0.15410590171813965,0.9736689925193787,1.401298464324817e-45
1631220907.54199982,72127,1,31,nan,nan,nan,nan,nan,-0.0699181780219078,1.1436161994934082,-0.7116749882698059,0.1659262329339981,0.9736689925193787,1.401298464324817e-45
1631220908.69499993,73187,1,31,nan,nan,nan,nan,nan,-0.0695095956325531,1.2492563724517822,-0.8494042754173279,-0.09508781135082245,0.9736689925193787,1.401298464324817e-45
1631220909.30999994,74251,1,31,nan,nan,nan,nan,nan,-0.06965286284685135,1.078903317451477,-0.7335764169692993,-0.07478784024715424,0.9736689925193787,1.401298464324817e-45
1631220910.08299994,75310,1,31,nan,nan,nan,nan,nan,-0.0695095956325531,1.6319619417190552,-1.0437148809432983,-0.017510149627923965,0.9736689925193787,1.401298464324817e-45
1631220911.14399981,76379,1,31,nan,nan,nan,nan,nan,-0.07218033820390701,1.5223573446273804,-0.9362409114837646,-0.0034196004271507263,0.9736689925193787,1.401298464324817e-45
1631220912.42599988,77439,1,31,nan,nan,nan,nan,nan,-0.07218033820390701,0.0,0.0,-0.11466403305530548,0.9736689925193787,1.401298464324817e-45
1631220913.26499987,78510,1,31,nan,nan,nan,nan,nan,-0.06739349663257599,0.4902766942977905,0.7210715413093567,-0.32645899057388306,0.9736689925193787,1.401298464324817e-45
