timestamp,ALTITUDE.time_usec,ALTITUDE.altitude_monotonic,ALTITUDE.altitude_amsl,ALTITUDE.altitude_local,ALTITUDE.altitude_relative,ALTITUDE.altitude_terrain,ALTITUDE.bottom_clearance
1631219297.00099993,49995347,78.05148315429688,118.29358673095703,-0.132328599691391,-0.08345385640859604,-0.23377257585525513,0.10144397616386414
1631219298.60899997,51507878,78.09375762939453,118.29429626464844,-0.13161934912204742,-0.08274460583925247,-0.23363393545150757,0.10201458632946014
1631219300.02199984,53025860,78.13602447509766,118.31755065917969,-0.10836714506149292,-0.05949240177869797,-0.20959098637104034,0.10122384130954742
1631219301.60899997,54535041,77.96956634521484,118.3412857055664,-0.0846337154507637,-0.03575897216796875,-0.1855403482913971,0.10090663284063339
1631219303.05599999,56043701,77.96956634521484,118.3531723022461,-0.07274828106164932,-0.02387353777885437,-0.17914149165153503,0.10639321058988571
1631219304.60800004,57554471,78.03033447265625,118.3349609375,-0.09095561504364014,-0.042080871760845184,-0.19951188564300537,0.10855627059936523
1631219306.10599995,59067471,78.28400421142578,118.32608032226562,-0.09983466565608978,-0.05095992237329483,-0.1998346745967865,0.10000000149011612
1631219307.57499981,60577829,77.94842529296875,118.35719299316406,-0.06872265785932541,-0.019847914576530457,-0.1747538298368454,0.10603117197751999
1631219309.10899997,62090506,78.26286315917969,118.31525421142578,-0.11066186428070068,-0.06178712099790573,-0.2106618583202362,0.10000000149011612
1631219310.68999982,63614058,77.96956634521484,118.30120086669922,-0.1247180625796318,-0.07584331929683685,-0.22471806406974792,0.10000000149011612
1631219312.15599990,65115519,78.1148910522461,118.33253479003906,-0.09338140487670898,0.03234782814979553,-0.19695597887039185,0.10357457399368286
1631219313.67699981,66633502,77.885009765625,118.33098602294922,-0.09493573009967804,0.030793502926826477,-0.19493573904037476,0.10000000149011612
1631219315.17299986,68143517,78.1148910522461,118.33673858642578,-0.08917950093746185,0.036549732089042664,-0.19194667041301727,0.10276716947555542
1631219316.67299986,69655468,78.07261657714844,118.32884979248047,-0.09707143902778625,0.02865779399871826,-0.19707143306732178,0.10000000149011612
1631219318.17400002,71165469,78.1148910522461,118.35021209716797,-0.07570537179708481,0.05002386122941971,-0.17894963920116425,0.10324426740407944
1631219319.70499992,72680597,78.13602447509766,118.34488677978516,-0.08103054016828537,0.04469869285821915,-0.18939398229122162,0.10836344212293625
1631219321.18899989,74186554,78.15717315673828,118.30819702148438,-0.11772221326828003,0.008007019758224487,-0.22352126240730286,0.10579904913902283
1631219322.68799996,75704597,78.05412292480469,118.28427124023438,-0.1416446715593338,-0.015915438532829285,-0.24164468050003052,0.10000000149011612
1631219324.27799988,77218184,77.9906997680664,118.28421020507812,-0.14170797169208527,-0.01597873866558075,-0.24170798063278198,0.10000000149011612
1631219325.77099991,78722694,77.67626190185547,118.29116821289062,-0.1347513645887375,-0.009022131562232971,-0.2347513735294342,0.10000000149011612
1631219327.22799993,80237472,78.0118408203125,118.26791381835938,-0.15800392627716064,-0.03227469325065613,-0.25800392031669617,0.10000000149011612
1631219328.80399990,81745582,78.13602447509766,118.2724609375,-0.15345792472362518,-0.027728691697120667,-0.2534579336643219,0.10000000149011612
1631219330.25699997,83256474,78.0118408203125,118.29346466064453,-0.1324508935213089,-0.006721660494804382,-0.23642542958259583,0.10397453606128693
1631219331.77099991,84767864,78.03033447265625,118.28350067138672,-0.14241783320903778,-0.016688600182533264,-0.24393251538276672,0.10151468217372894
1631219333.28499985,86284953,77.885009765625,118.29519653320312,-0.13072361052036285,-0.004994377493858337,-0.2310536503791809,0.10033003985881805
1631219334.77900004,87792477,78.07261657714844,118.28211975097656,-0.14379635453224182,-0.018067121505737305,-0.24642783403396606,0.10263147950172424
1631219336.30199981,89306596,77.9906997680664,118.28228759765625,-0.14363399147987366,-0.01790475845336914,-0.24845629930496216,0.1048223078250885
1631219337.86299992,90815863,77.94842529296875,118.28337097167969,-0.14254948496818542,-0.016820251941680908,-0.24254947900772095,0.10000000149011612
1631219339.35999990,92328855,78.09375762939453,118.29997253417969,-0.12594833970069885,-0.00021910667419433594,-0.22652015089988708,0.10057181119918823
1631219340.85599995,93845877,78.1148910522461,118.2900619506836,-0.13585439324378967,-0.010125160217285156,-0.2358543872833252,0.10000000149011612
1631219342.41999984,95435476,78.13602447509766,118.3228759765625,-0.10303927212953568,0.02268996089696884,-0.21047158539295197,0.10743231326341629
1631219344.03799987,97033203,77.96956634521484,118.33222198486328,-0.09369482100009918,0.032034412026405334,-0.20198167860507965,0.10828685760498047
1631219345.67100000,98633730,78.15717315673828,118.33887481689453,-0.08704204112291336,0.008727848529815674,-0.20188097655773163,0.11483893543481827
1631219347.22199988,100225382,78.03033447265625,118.31082916259766,-0.11509270966053009,-0.019322820007801056,-0.2228824943304062,0.1077897846698761
1631219348.80599999,101817807,78.74640655517578,118.75677490234375,0.3308579623699188,0.42662784457206726,-0.222882479429245,0.5537404417991638
1631219350.41400003,103416467,79.91960144042969,119.93924713134766,1.5133259296417236,1.609095811843872,nan,nan
1631219352.02499986,105013622,81.26189422607422,121.41607666015625,2.990161895751953,3.0859317779541016,nan,nan
1631219353.62199998,106606036,82.52227783203125,122.70349884033203,4.277580261230469,4.373350143432617,nan,nan
